customer_id,customer_name,segment,region,industry,acquisition_cohort_month,platformized_flag,platformization_date,source,organic_inorganic
1,ORG-000001,Commercial,EMEA,Technology,2020-08,False,,organic,organic
2,ORG-000002,SMB,Americas,Technology,2020-08,False,,organic,organic
3,ORG-000003,Enterprise,EMEA,Manufacturing,2020-08,False,,organic,organic
4,ORG-000004,Commercial,Americas,Telecom,2020-08,False,,organic,organic
5,ORG-000005,SMB,Americas,Technology,2020-08,False,,organic,organic
6,ORG-000006,SMB,Americas,Healthcare,2020-08,True,2024-05,organic,organic
7,ORG-000007,SMB,EMEA,Retail,2020-08,True,2024-05,organic,organic
8,ORG-000008,Commercial,Americas,Technology,2020-08,False,,organic,organic
9,ORG-000009,Commercial,EMEA,Manufacturing,2020-08,True,2024-05,organic,organic
10,ORG-000010,SMB,Americas,Financial Services,2020-08,False,,organic,organic
11,ORG-000011,SMB,Americas,Healthcare,2020-08,False,,organic,organic
12,ORG-000012,SMB,Americas,Telecom,2020-08,False,,organic,organic
13,ORG-000013,SMB,Americas,Manufacturing,2020-08,False,,organic,organic
14,ORG-000014,SMB,Americas,Financial Services,2020-08,True,2024-05,organic,organic
15,ORG-000015,SMB,APAC,Retail,2020-08,True,2024-05,organic,organic
16,ORG-000016,SMB,Americas,Financial Services,2020-08,False,,organic,organic
17,ORG-000017,Commercial,Americas,Financial Services,2020-08,False,,organic,organic
18,ORG-000018,SMB,EMEA,Retail,2020-08,False,,organic,organic
19,ORG-000019,SMB,Americas,Financial Services,2020-08,False,,organic,organic
20,ORG-000020,Enterprise,EMEA,Energy/Utilities,2020-08,True,2024-05,organic,organic
21,ORG-000021,Commercial,Americas,Technology,2020-08,False,,organic,organic
22,ORG-000022,SMB,EMEA,Financial Services,2020-08,False,,organic,organic
23,ORG-000023,SMB,EMEA,Telecom,2020-08,False,,organic,organic
24,ORG-000024,SMB,Americas,Financial Services,2020-08,False,,organic,organic
25,ORG-000025,SMB,Americas,Manufacturing,2020-08,True,2024-05,organic,organic
26,ORG-000026,SMB,Americas,Public Sector,2020-08,False,,organic,organic
27,ORG-000027,SMB,JAPAC,Retail,2020-08,True,2024-05,organic,organic
28,ORG-000028,SMB,APAC,Technology,2020-08,True,2026-02,organic,organic
29,ORG-000029,Commercial,Americas,Telecom,2020-08,False,,organic,organic
30,ORG-000030,Commercial,Americas,Financial Services,2020-08,True,2024-05,organic,organic
31,ORG-000031,Commercial,EMEA,Healthcare,2020-08,True,2026-02,organic,organic
32,ORG-000032,Commercial,Americas,Technology,2020-08,False,,organic,organic
33,ORG-000033,SMB,Americas,Public Sector,2020-08,False,,organic,organic
34,ORG-000034,Commercial,Americas,Financial Services,2020-08,True,2024-11,organic,organic
35,ORG-000035,SMB,Americas,Financial Services,2020-08,True,2024-05,organic,organic
36,ORG-000036,SMB,EMEA,Public Sector,2020-08,True,2024-08,organic,organic
37,ORG-000037,SMB,EMEA,Healthcare,2020-08,False,,organic,organic
38,ORG-000038,Commercial,EMEA,Financial Services,2020-08,True,2024-05,organic,organic
39,ORG-000039,Enterprise,Americas,Healthcare,2020-08,True,2025-05,organic,organic
40,ORG-000040,Enterprise,Americas,Telecom,2020-08,True,2024-05,organic,organic
41,ORG-000041,SMB,Americas,Manufacturing,2020-08,False,,organic,organic
42,ORG-000042,Commercial,APAC,Financial Services,2020-08,True,2024-05,organic,organic
43,ORG-000043,SMB,Americas,Technology,2020-08,True,2026-02,organic,organic
44,ORG-000044,Commercial,Americas,Technology,2020-08,True,2025-08,organic,organic
45,ORG-000045,SMB,Americas,Public Sector,2020-08,True,2026-05,organic,organic
46,ORG-000046,Commercial,EMEA,Technology,2020-08,False,,organic,organic
47,ORG-000047,Commercial,Americas,Technology,2020-08,False,,organic,organic
48,ORG-000048,Enterprise,Americas,Public Sector,2020-08,True,2024-05,organic,organic
49,ORG-000049,Commercial,APAC,Healthcare,2020-08,True,2024-05,organic,organic
50,ORG-000050,SMB,EMEA,Financial Services,2020-08,True,2025-11,organic,organic
51,ORG-000051,Commercial,EMEA,Retail,2020-08,False,,organic,organic
52,ORG-000052,Commercial,EMEA,Healthcare,2020-08,True,2024-05,organic,organic
53,ORG-000053,SMB,EMEA,Healthcare,2020-08,False,,organic,organic
54,ORG-000054,SMB,Americas,Public Sector,2020-08,False,,organic,organic
55,ORG-000055,SMB,Americas,Manufacturing,2020-08,True,2024-05,organic,organic
56,ORG-000056,Commercial,Americas,Technology,2020-08,True,2024-05,organic,organic
57,ORG-000057,SMB,JAPAC,Financial Services,2020-08,False,,organic,organic
58,ORG-000058,Enterprise,EMEA,Healthcare,2020-08,True,2025-05,organic,organic
59,ORG-000059,SMB,Americas,Technology,2020-08,True,2024-05,organic,organic
60,ORG-000060,Commercial,EMEA,Public Sector,2020-08,False,,organic,organic
61,ORG-000061,Commercial,Americas,Financial Services,2020-08,True,2024-05,organic,organic
62,ORG-000062,SMB,Americas,Healthcare,2020-08,False,,organic,organic
63,ORG-000063,SMB,Americas,Technology,2020-08,True,2024-05,organic,organic
64,ORG-000064,SMB,Americas,Telecom,2020-08,False,,organic,organic
65,ORG-000065,Commercial,EMEA,Healthcare,2020-08,False,,organic,organic
66,ORG-000066,Enterprise,EMEA,Public Sector,2020-08,False,,organic,organic
67,ORG-000067,Enterprise,Americas,Technology,2020-08,False,,organic,organic
