month,fiscal_year,fiscal_quarter,fy_label,fq_label,calendar_year,calendar_month,is_quarter_end_month,is_history,date_id
2020-08-01,2021,1,FY2021,FY2021-Q1,2020,8,False,True,2020-08
2020-09-01,2021,1,FY2021,FY2021-Q1,2020,9,False,True,2020-09
2020-10-01,2021,1,FY2021,FY2021-Q1,2020,10,True,True,2020-10
2020-11-01,2021,2,FY2021,FY2021-Q2,2020,11,False,True,2020-11
2020-12-01,2021,2,FY2021,FY2021-Q2,2020,12,False,True,2020-12
2021-01-01,2021,2,FY2021,FY2021-Q2,2021,1,True,True,2021-01
2021-02-01,2021,3,FY2021,FY2021-Q3,2021,2,False,True,2021-02
2021-03-01,2021,3,FY2021,FY2021-Q3,2021,3,False,True,2021-03
2021-04-01,2021,3,FY2021,FY2021-Q3,2021,4,True,True,2021-04
2021-05-01,2021,4,FY2021,FY2021-Q4,2021,5,False,True,2021-05
2021-06-01,2021,4,FY2021,FY2021-Q4,2021,6,False,True,2021-06
2021-07-01,2021,4,FY2021,FY2021-Q4,2021,7,True,True,2021-07
2021-08-01,2022,1,FY2022,FY2022-Q1,2021,8,False,True,2021-08
2021-09-01,2022,1,FY2022,FY2022-Q1,2021,9,False,True,2021-09
2021-10-01,2022,1,FY2022,FY2022-Q1,2021,10,True,True,2021-10
2021-11-01,2022,2,FY2022,FY2022-Q2,2021,11,False,True,2021-11
2021-12-01,2022,2,FY2022,FY2022-Q2,2021,12,False,True,2021-12
2022-01-01,2022,2,FY2022,FY2022-Q2,2022,1,True,True,2022-01
2022-02-01,2022,3,FY2022,FY2022-Q3,2022,2,False,True,2022-02
2022-03-01,2022,3,FY2022,FY2022-Q3,2022,3,False,True,2022-03
2022-04-01,2022,3,FY2022,FY2022-Q3,2022,4,True,True,2022-04
2022-05-01,2022,4,FY2022,FY2022-Q4,2022,5,False,True,2022-05
2022-06-01,2022,4,FY2022,FY2022-Q4,2022,6,False,True,2022-06
2022-07-01,2022,4,FY2022,FY2022-Q4,2022,7,True,True,2022-07
2022-08-01,2023,1,FY2023,FY2023-Q1,2022,8,False,True,2022-08
2022-09-01,2023,1,FY2023,FY2023-Q1,2022,9,False,True,2022-09
2022-10-01,2023,1,FY2023,FY2023-Q1,2022,10,True,True,2022-10
2022-11-01,2023,2,FY2023,FY2023-Q2,2022,11,False,True,2022-11
2022-12-01,2023,2,FY2023,FY2023-Q2,2022,12,False,True,2022-12
2023-01-01,2023,2,FY2023,FY2023-Q2,2023,1,True,True,2023-01
2023-02-01,2023,3,FY2023,FY2023-Q3,2023,2,False,True,2023-02
2023-03-01,2023,3,FY2023,FY2023-Q3,2023,3,False,True,2023-03
2023-04-01,2023,3,FY2023,FY2023-Q3,2023,4,True,True,2023-04
2023-05-01,2023,4,FY2023,FY2023-Q4,2023,5,False,True,2023-05
